GPU Utilization [%],GPU D3D Usage [%]
0,4.4
0,6.2
0,0.5
0,0.6
48,1.7
0,2.6
0,1.8
0,2.6
0,1.6
0,0.5
0,0.3
3,0.4
0,0.5
0,0.8
3,0.5
0,0.3
60,5.3
0,1.1
91,1.1
24,5.3
24,7.2
79,1.7
27,6.1
27,3.9
27,2.4
0,0.6
0,0.2
0,0.2
0,1
0,0.3
82,0.8
0,10.4
0,1.2
0,1.7
0,1.5
47,3.8
47,6.8
47,9.5
9,22.4
0,24.4
0,12.6
49,7.7
49,0.2
49,0.6
0,0.1
58,3.4
0,0.5
0,0.2
0,0.2
0,0.1
0,0.1
64,3.2
64,0.8
64,1.2
0,0.6
24,2
24,1.8
20,18.6
26,18.8
26,17.8
18,20.8
19,19.9
19,19
19,18.3
21,20
22,19.5
24,20.4
24,18.9
24,18
24,18
25,19.1
27,19.3
27,19.4
27,19.6
28,19.7
28,19.6
27,20.6
27,20.4
26,20.2
27,21.1
29,21
27,22
26,19.9
24,19.5
25,18.3
24,18.6
24,19.3
26,19.8
26,19
27,19.7
24,20.1
22,19.9
20,20.3
19,20
20,21
20,20.8
20,20.1
20,20.1
20,20.5
20,19
20,19.5
19,19.7
20,19.7
19,18.9
19,19
19,19.1
0,1.6
30,4.7
30,53.1
30,53.8
54,54.4
54,55.5
55,55.2
55,55.2
55,55.6
55,55.2
55,54.9
55,55.9
55,55.8
55,55.4
55,55.9
55,55.4
55,54.3
55,54.9
55,55.6
55,55.3
55,55.1
55,55.2
55,54.6
54,53.7
54,55.2
54,54.7
55,55
55,54.9
55,54.2
54,54.2
54,54.5
54,54.7
54,53.6
54,53.8
53,53.3
53,52
48,30.7
47,39.7
45,38.7
48,41.3
47,41.7
51,47.3
54,46.1
55,47.3
54,45.3
52,40.7
51,37.2
45,32.3
44,33.3
42,35
44,36.9
42,34.2
42,35.7
40,34.1
39,34.4
38,34.6
36,23.3
30,18.9
28,31.5
33,38.9
42,40.6
42,27.6
40,34.9
40,39
45,38.3
46,35.7
45,36.3
43,31.7
42,35.3
42,37.7
44,38.3
44,35.8
42,32.4
41,34.6
42,39.1
46,40.2
48,38.4
47,37.4
44,36.2
47,43
51,38.7
51,35.2
50,40
50,39.7
54,41.4
51,40.2
48,39.1
42,30.5
39,30.8
39,34.7
43,36
43,28.8
40,34.3
43,40.2
50,41.7
53,37.2
47,37.1
42,36.6
38,33.2
36,31.8
36,31.8
37,32.1
40,33.6
44,36.3
47,41.4
51,44.7
51,36.2
49,37.4
45,32.6
43,33.6
41,30
42,34
41,33.1
44,34.4
42,30.4
41,28.6
38,26.6
33,19.6
34,30.9
37,34.3
42,35.1
43,34.8
41,27.9
41,33.3
40,31.6
41,29.5
40,30.6
40,34.2
42,36.5
41,32.5
40,31.3
39,33.3
38,29.8
39,34.1
42,39.1
45,39.9
48,43
49,38.2
46,32
43,31.1
38,28.9
39,36.2
41,38.8
45,36.6
43,35.4
40,31.4
42,38.9
44,36.5
47,33.3
43,30.1
40,34.3
38,32.1
41,35.3
39,26.4
37,32.3
35,29.8
37,31
38,32.2
41,33.3
46,34.3
45,28.1
44,34.3
42,33.8
44,37.1
43,32.3
45,39.1
46,37.8
48,38.8
45,32.5
42,
41,38
41,34
41,33.2
40,31.8
40,31.1
41,33.3
42,32.6
43,35.6
43,29.5
42,26
39,24.5
38,31.8
36,30
38,33.1
38,33.5
40,34.1
40,34.6
41,32
42,32.8
41,31.8
41,34.6
39,34.1
,35
43,38.4
46,35.7
47,38.1
44,33.2
42,34.4
41,34.6
42,32.3
41,32.3
41,32.6
38,29.4
39,33.6
38,30.8
39,32.9
40,39.4
41,35.6
40,35.1
41,38.3
47,43.3
54,44.1
58,42.2
57,40
57,41.6
57,43.3
58,43.1
58,39.6
54,33.5
51,34.8
44,34.6
42,37.4
41,39.3
42,38.9
43,36.5
41,29.3
42,37.7
42,37.5
44,36.9
45,40.6
45,38.9
45,38.4
44,37.8
42,35.5
41,38.4
43,43.5
42,32.6
41,37.8
41,40
44,40.3
43,30.7
44,37.1
44,34.1
47,44.2
48,41.9
48,40.7
45,41.6
42,39.9
44,43.3
45,43
47,45.1
49,42.6
49,42.3
49,41.9
45,40.5
41,32.8
37,31.2
34,26.9
34,26.8
33,25.9
35,30
39,33.3
40,26.4
40,31.2
40,35.4
42,35
41,36.2
44,35.6
46,35.7
47,31.4
44,37
47,39.9
43,22.2
43,0.6
